code,description,detailed_description,last_updated
V296,Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident,Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident,09/11/2025
V298,Motorcycle rider [any] injured in other specified transport accidents,Motorcycle rider [any] injured in other specified transport accidents,09/11/2025
V299,Motorcycle rider [any] injured in unspecified traffic accident,Motorcycle rider [any] injured in unspecified traffic accident,09/11/2025
V30,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal,N/A,09/11/2025
V300,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Driver injured in nontraffic accident,Driver injured in nontraffic accident,09/11/2025
V301,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Passenger injured in nontraffic accident,Passenger injured in nontraffic accident,09/11/2025
V302,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Person on outside of vehicle injured in nontraffic accident,Person on outside of vehicle injured in nontraffic accident,09/11/2025
V303,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,09/11/2025
V304,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Person injured while boarding or alighting,Person injured while boarding or alighting,09/11/2025
V305,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Driver injured in traffic accident,Driver injured in traffic accident,09/11/2025
V306,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Passenger injured in traffic accident,Passenger injured in traffic accident,09/11/2025
V307,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Person on outside of vehicle injured in traffic accident,Person on outside of vehicle injured in traffic accident,09/11/2025
V309,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,09/11/2025
V31,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle,N/A,09/11/2025
V310,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle: Driver injured in nontraffic accident,Driver injured in nontraffic accident,09/11/2025
V311,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle: Passenger injured in nontraffic accident,Passenger injured in nontraffic accident,09/11/2025
V312,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle: Person on outside of vehicle injured in nontraffic accident,Person on outside of vehicle injured in nontraffic accident,09/11/2025
V313,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle: Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,09/11/2025
V314,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle: Person injured while boarding or alighting,Person injured while boarding or alighting,09/11/2025
V315,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle: Driver injured in traffic accident,Driver injured in traffic accident,09/11/2025
V316,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle: Passenger injured in traffic accident,Passenger injured in traffic accident,09/11/2025
V317,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle: Person on outside of vehicle injured in traffic accident,Person on outside of vehicle injured in traffic accident,09/11/2025
V319,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle: Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,09/11/2025
V32,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle,N/A,09/11/2025
V320,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle: Driver injured in nontraffic accident,Driver injured in nontraffic accident,09/11/2025
V321,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle: Passenger injured in nontraffic accident,Passenger injured in nontraffic accident,09/11/2025
V322,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle: Person on outside of vehicle injured in nontraffic accident,Person on outside of vehicle injured in nontraffic accident,09/11/2025
V323,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle: Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,09/11/2025
V324,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle: Person injured while boarding or alighting,Person injured while boarding or alighting,09/11/2025
V325,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle: Driver injured in traffic accident,Driver injured in traffic accident,09/11/2025
V326,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle: Passenger injured in traffic accident,Passenger injured in traffic accident,09/11/2025
V327,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle: Person on outside of vehicle injured in traffic accident,Person on outside of vehicle injured in traffic accident,09/11/2025
V329,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle: Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,09/11/2025
V33,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van",N/A,09/11/2025
V330,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van: Driver injured in nontraffic accident",Driver injured in nontraffic accident,09/11/2025
V331,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van: Passenger injured in nontraffic accident",Passenger injured in nontraffic accident,09/11/2025
V332,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van: Person on outside of vehicle injured in nontraffic accident",Person on outside of vehicle injured in nontraffic accident,09/11/2025
V333,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van: Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident",Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,09/11/2025
V334,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van: Person injured while boarding or alighting",Person injured while boarding or alighting,09/11/2025
V335,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van: Driver injured in traffic accident",Driver injured in traffic accident,09/11/2025
V336,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van: Passenger injured in traffic accident",Passenger injured in traffic accident,09/11/2025
V337,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van: Person on outside of vehicle injured in traffic accident",Person on outside of vehicle injured in traffic accident,09/11/2025
V339,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van: Unspecified occupant of three-wheeled motor vehicle injured in traffic accident",Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,09/11/2025
V34,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus,N/A,09/11/2025
V340,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus: Driver injured in nontraffic accident,Driver injured in nontraffic accident,09/11/2025
V341,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus: Passenger injured in nontraffic accident,Passenger injured in nontraffic accident,09/11/2025
V342,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in nontraffic accident,Person on outside of vehicle injured in nontraffic accident,09/11/2025
V343,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus: Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,09/11/2025
V344,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus: Person injured while boarding or alighting,Person injured while boarding or alighting,09/11/2025
V345,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus: Driver injured in traffic accident,Driver injured in traffic accident,09/11/2025
V346,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus: Passenger injured in traffic accident,Passenger injured in traffic accident,09/11/2025
V347,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in traffic accident,Person on outside of vehicle injured in traffic accident,09/11/2025
V349,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus: Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,09/11/2025
V35,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle,N/A,09/11/2025
V350,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle: Driver injured in nontraffic accident,Driver injured in nontraffic accident,09/11/2025
V351,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle: Passenger injured in nontraffic accident,Passenger injured in nontraffic accident,09/11/2025
V352,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in nontraffic accident,Person on outside of vehicle injured in nontraffic accident,09/11/2025
V353,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle: Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,09/11/2025
V354,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle: Person injured while boarding or alighting,Person injured while boarding or alighting,09/11/2025
V355,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle: Driver injured in traffic accident,Driver injured in traffic accident,09/11/2025
V356,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle: Passenger injured in traffic accident,Passenger injured in traffic accident,09/11/2025
V357,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident,Person on outside of vehicle injured in traffic accident,09/11/2025
V359,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle: Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,09/11/2025
V36,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle,N/A,09/11/2025
V360,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident,Driver injured in nontraffic accident,09/11/2025
V361,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident,Passenger injured in nontraffic accident,09/11/2025
V362,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident,Person on outside of vehicle injured in nontraffic accident,09/11/2025
V363,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle: Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,09/11/2025
V364,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle: Person injured while boarding or alighting,Person injured while boarding or alighting,09/11/2025
V365,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle: Driver injured in traffic accident,Driver injured in traffic accident,09/11/2025
V366,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle: Passenger injured in traffic accident,Passenger injured in traffic accident,09/11/2025
V367,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident,Person on outside of vehicle injured in traffic accident,09/11/2025
V369,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle: Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,09/11/2025
V37,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object,N/A,09/11/2025
V370,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Driver injured in nontraffic accident,Driver injured in nontraffic accident,09/11/2025
V371,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Passenger injured in nontraffic accident,Passenger injured in nontraffic accident,09/11/2025
V372,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident,Person on outside of vehicle injured in nontraffic accident,09/11/2025
V373,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,09/11/2025
V374,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Person injured while boarding or alighting,Person injured while boarding or alighting,09/11/2025
V375,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Driver injured in traffic accident,Driver injured in traffic accident,09/11/2025
V376,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Passenger injured in traffic accident,Passenger injured in traffic accident,09/11/2025
V377,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident,Person on outside of vehicle injured in traffic accident,09/11/2025
V379,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,09/11/2025
V38,Occupant of three-wheeled motor vehicle injured in noncollision transport accident,N/A,09/11/2025
V380,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Driver injured in nontraffic accident,Driver injured in nontraffic accident,09/11/2025
V381,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Passenger injured in nontraffic accident,Passenger injured in nontraffic accident,09/11/2025
V382,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident,Person on outside of vehicle injured in nontraffic accident,09/11/2025
V383,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,09/11/2025
V384,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Person injured while boarding or alighting,Person injured while boarding or alighting,09/11/2025
V385,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Driver injured in traffic accident,Driver injured in traffic accident,09/11/2025
V386,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Passenger injured in traffic accident,Passenger injured in traffic accident,09/11/2025
V387,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident,Person on outside of vehicle injured in traffic accident,09/11/2025
V389,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,09/11/2025
V39,Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents,N/A,09/11/2025
V390,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,09/11/2025
V391,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,09/11/2025
V392,Unspecified occupant of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident,Unspecified occupant of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident,09/11/2025
V393,Occupant [any] of three-wheeled motor vehicle injured in unspecified nontraffic accident,Occupant [any] of three-wheeled motor vehicle injured in unspecified nontraffic accident,09/11/2025
V394,Driver injured in collision with other and unspecified motor vehicles in traffic accident,Driver injured in collision with other and unspecified motor vehicles in traffic accident,09/11/2025
V395,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,09/11/2025
V396,Unspecified occupant of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in traffic accident,Unspecified occupant of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in traffic accident,09/11/2025
V398,Occupant [any] of three-wheeled motor vehicle injured in other specified transport accidents,Occupant [any] of three-wheeled motor vehicle injured in other specified transport accidents,09/11/2025
V399,Occupant [any] of three-wheeled motor vehicle injured in unspecified traffic accident,Occupant [any] of three-wheeled motor vehicle injured in unspecified traffic accident,09/11/2025
V40,Car occupant injured in collision with pedestrian or animal,N/A,09/11/2025
V400,Car occupant injured in collision with pedestrian or animal: Driver injured in nontraffic accident,Driver injured in nontraffic accident,09/11/2025
V401,Car occupant injured in collision with pedestrian or animal: Passenger injured in nontraffic accident,Passenger injured in nontraffic accident,09/11/2025
V402,Car occupant injured in collision with pedestrian or animal: Person on outside of vehicle injured in nontraffic accident,Person on outside of vehicle injured in nontraffic accident,09/11/2025
V403,Car occupant injured in collision with pedestrian or animal: Unspecified car occupant injured in nontraffic accident,Unspecified car occupant injured in nontraffic accident,09/11/2025
V404,Car occupant injured in collision with pedestrian or animal: Person injured while boarding or alighting,Person injured while boarding or alighting,09/11/2025
V405,Car occupant injured in collision with pedestrian or animal: Driver injured in traffic accident,Driver injured in traffic accident,09/11/2025
V406,Car occupant injured in collision with pedestrian or animal: Passenger injured in traffic accident,Passenger injured in traffic accident,09/11/2025
V407,Car occupant injured in collision with pedestrian or animal: Person on outside of vehicle injured in traffic accident,Person on outside of vehicle injured in traffic accident,09/11/2025
V409,Car occupant injured in collision with pedestrian or animal: Unspecified car occupant injured in traffic accident,Unspecified car occupant injured in traffic accident,09/11/2025
V41,Car occupant injured in collision with pedal cycle,N/A,09/11/2025
V410,Car occupant injured in collision with pedal cycle: Driver injured in nontraffic accident,Driver injured in nontraffic accident,09/11/2025
V411,Car occupant injured in collision with pedal cycle: Passenger injured in nontraffic accident,Passenger injured in nontraffic accident,09/11/2025
V412,Car occupant injured in collision with pedal cycle: Person on outside of vehicle injured in nontraffic accident,Person on outside of vehicle injured in nontraffic accident,09/11/2025
V413,Car occupant injured in collision with pedal cycle: Unspecified car occupant injured in nontraffic accident,Unspecified car occupant injured in nontraffic accident,09/11/2025
V414,Car occupant injured in collision with pedal cycle: Person injured while boarding or alighting,Person injured while boarding or alighting,09/11/2025
V415,Car occupant injured in collision with pedal cycle: Driver injured in traffic accident,Driver injured in traffic accident,09/11/2025
V416,Car occupant injured in collision with pedal cycle: Passenger injured in traffic accident,Passenger injured in traffic accident,09/11/2025
V417,Car occupant injured in collision with pedal cycle: Person on outside of vehicle injured in traffic accident,Person on outside of vehicle injured in traffic accident,09/11/2025
V419,Car occupant injured in collision with pedal cycle: Unspecified car occupant injured in traffic accident,Unspecified car occupant injured in traffic accident,09/11/2025
V42,Car occupant injured in collision with two- or three-wheeled motor vehicle,N/A,09/11/2025
V420,Car occupant injured in collision with two- or three-wheeled motor vehicle: Driver injured in nontraffic accident,Driver injured in nontraffic accident,09/11/2025
V421,Car occupant injured in collision with two- or three-wheeled motor vehicle: Passenger injured in nontraffic accident,Passenger injured in nontraffic accident,09/11/2025
V422,Car occupant injured in collision with two- or three-wheeled motor vehicle: Person on outside of vehicle injured in nontraffic accident,Person on outside of vehicle injured in nontraffic accident,09/11/2025
V423,Car occupant injured in collision with two- or three-wheeled motor vehicle: Unspecified car occupant injured in nontraffic accident,Unspecified car occupant injured in nontraffic accident,09/11/2025
V424,Car occupant injured in collision with two- or three-wheeled motor vehicle: Person injured while boarding or alighting,Person injured while boarding or alighting,09/11/2025
V425,Car occupant injured in collision with two- or three-wheeled motor vehicle: Driver injured in traffic accident,Driver injured in traffic accident,09/11/2025
V426,Car occupant injured in collision with two- or three-wheeled motor vehicle: Passenger injured in traffic accident,Passenger injured in traffic accident,09/11/2025
V427,Car occupant injured in collision with two- or three-wheeled motor vehicle: Person on outside of vehicle injured in traffic accident,Person on outside of vehicle injured in traffic accident,09/11/2025
V429,Car occupant injured in collision with two- or three-wheeled motor vehicle: Unspecified car occupant injured in traffic accident,Unspecified car occupant injured in traffic accident,09/11/2025
V43,"Car occupant injured in collision with car, pick-up truck or van",N/A,09/11/2025
V430,"Car occupant injured in collision with car, pick-up truck or van: Driver injured in nontraffic accident",Driver injured in nontraffic accident,09/11/2025
V431,"Car occupant injured in collision with car, pick-up truck or van: Passenger injured in nontraffic accident",Passenger injured in nontraffic accident,09/11/2025
V432,"Car occupant injured in collision with car, pick-up truck or van: Person on outside of vehicle injured in nontraffic accident",Person on outside of vehicle injured in nontraffic accident,09/11/2025
V433,"Car occupant injured in collision with car, pick-up truck or van: Unspecified car occupant injured in nontraffic accident",Unspecified car occupant injured in nontraffic accident,09/11/2025
V434,"Car occupant injured in collision with car, pick-up truck or van: Person injured while boarding or alighting",Person injured while boarding or alighting,09/11/2025
V435,"Car occupant injured in collision with car, pick-up truck or van: Driver injured in traffic accident",Driver injured in traffic accident,09/11/2025
V436,"Car occupant injured in collision with car, pick-up truck or van: Passenger injured in traffic accident",Passenger injured in traffic accident,09/11/2025
V437,"Car occupant injured in collision with car, pick-up truck or van: Person on outside of vehicle injured in traffic accident",Person on outside of vehicle injured in traffic accident,09/11/2025
V439,"Car occupant injured in collision with car, pick-up truck or van: Unspecified car occupant injured in traffic accident",Unspecified car occupant injured in traffic accident,09/11/2025
V44,Car occupant injured in collision with heavy transport vehicle or bus,N/A,09/11/2025
V440,Car occupant injured in collision with heavy transport vehicle or bus: Driver injured in nontraffic accident,Driver injured in nontraffic accident,09/11/2025
V441,Car occupant injured in collision with heavy transport vehicle or bus: Passenger injured in nontraffic accident,Passenger injured in nontraffic accident,09/11/2025
V442,Car occupant injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in nontraffic accident,Person on outside of vehicle injured in nontraffic accident,09/11/2025
V443,Car occupant injured in collision with heavy transport vehicle or bus: Unspecified car occupant injured in nontraffic accident,Unspecified car occupant injured in nontraffic accident,09/11/2025
V444,Car occupant injured in collision with heavy transport vehicle or bus: Person injured while boarding or alighting,Person injured while boarding or alighting,09/11/2025
V445,Car occupant injured in collision with heavy transport vehicle or bus: Driver injured in traffic accident,Driver injured in traffic accident,09/11/2025
V446,Car occupant injured in collision with heavy transport vehicle or bus: Passenger injured in traffic accident,Passenger injured in traffic accident,09/11/2025
V447,Car occupant injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in traffic accident,Person on outside of vehicle injured in traffic accident,09/11/2025
V449,Car occupant injured in collision with heavy transport vehicle or bus: Unspecified car occupant injured in traffic accident,Unspecified car occupant injured in traffic accident,09/11/2025
V45,Car occupant injured in collision with railway train or railway vehicle,N/A,09/11/2025
V450,Car occupant injured in collision with railway train or railway vehicle: Driver injured in nontraffic accident,Driver injured in nontraffic accident,09/11/2025
V451,Car occupant injured in collision with railway train or railway vehicle: Passenger injured in nontraffic accident,Passenger injured in nontraffic accident,09/11/2025
V452,Car occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in nontraffic accident,Person on outside of vehicle injured in nontraffic accident,09/11/2025
V453,Car occupant injured in collision with railway train or railway vehicle: Unspecified car occupant injured in nontraffic accident,Unspecified car occupant injured in nontraffic accident,09/11/2025
V454,Car occupant injured in collision with railway train or railway vehicle: Person injured while boarding or alighting,Person injured while boarding or alighting,09/11/2025
V455,Car occupant injured in collision with railway train or railway vehicle: Driver injured in traffic accident,Driver injured in traffic accident,09/11/2025
V456,Car occupant injured in collision with railway train or railway vehicle: Passenger injured in traffic accident,Passenger injured in traffic accident,09/11/2025
V457,Car occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident,Person on outside of vehicle injured in traffic accident,09/11/2025
V459,Car occupant injured in collision with railway train or railway vehicle: Unspecified car occupant injured in traffic accident,Unspecified car occupant injured in traffic accident,09/11/2025
V46,Car occupant injured in collision with other nonmotor vehicle,N/A,09/11/2025
V460,Car occupant injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident,Driver injured in nontraffic accident,09/11/2025
V461,Car occupant injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident,Passenger injured in nontraffic accident,09/11/2025
V462,Car occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident,Person on outside of vehicle injured in nontraffic accident,09/11/2025
V463,Car occupant injured in collision with other nonmotor vehicle: Unspecified car occupant injured in nontraffic accident,Unspecified car occupant injured in nontraffic accident,09/11/2025
V464,Car occupant injured in collision with other nonmotor vehicle: Person injured while boarding or alighting,Person injured while boarding or alighting,09/11/2025
V465,Car occupant injured in collision with other nonmotor vehicle: Driver injured in traffic accident,Driver injured in traffic accident,09/11/2025
V466,Car occupant injured in collision with other nonmotor vehicle: Passenger injured in traffic accident,Passenger injured in traffic accident,09/11/2025
V467,Car occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident,Person on outside of vehicle injured in traffic accident,09/11/2025
V469,Car occupant injured in collision with other nonmotor vehicle: Unspecified car occupant injured in traffic accident,Unspecified car occupant injured in traffic accident,09/11/2025
V47,Car occupant injured in collision with fixed or stationary object,N/A,09/11/2025
V470,Car occupant injured in collision with fixed or stationary object: Driver injured in nontraffic accident,Driver injured in nontraffic accident,09/11/2025
V471,Car occupant injured in collision with fixed or stationary object: Passenger injured in nontraffic accident,Passenger injured in nontraffic accident,09/11/2025
V472,Car occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident,Person on outside of vehicle injured in nontraffic accident,09/11/2025
V473,Car occupant injured in collision with fixed or stationary object: Unspecified car occupant injured in nontraffic accident,Unspecified car occupant injured in nontraffic accident,09/11/2025
V474,Car occupant injured in collision with fixed or stationary object: Person injured while boarding or alighting,Person injured while boarding or alighting,09/11/2025
V475,Car occupant injured in collision with fixed or stationary object: Driver injured in traffic accident,Driver injured in traffic accident,09/11/2025
V476,Car occupant injured in collision with fixed or stationary object: Passenger injured in traffic accident,Passenger injured in traffic accident,09/11/2025
V477,Car occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident,Person on outside of vehicle injured in traffic accident,09/11/2025
V479,Car occupant injured in collision with fixed or stationary object: Unspecified car occupant injured in traffic accident,Unspecified car occupant injured in traffic accident,09/11/2025
V48,Car occupant injured in noncollision transport accident,N/A,09/11/2025
V480,Car occupant injured in noncollision transport accident: Driver injured in nontraffic accident,Driver injured in nontraffic accident,09/11/2025
V481,Car occupant injured in noncollision transport accident: Passenger injured in nontraffic accident,Passenger injured in nontraffic accident,09/11/2025
V482,Car occupant injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident,Person on outside of vehicle injured in nontraffic accident,09/11/2025
V483,Car occupant injured in noncollision transport accident: Unspecified car occupant injured in nontraffic accident,Unspecified car occupant injured in nontraffic accident,09/11/2025
V484,Car occupant injured in noncollision transport accident: Person injured while boarding or alighting,Person injured while boarding or alighting,09/11/2025
V485,Car occupant injured in noncollision transport accident: Driver injured in traffic accident,Driver injured in traffic accident,09/11/2025
V486,Car occupant injured in noncollision transport accident: Passenger injured in traffic accident,Passenger injured in traffic accident,09/11/2025
V487,Car occupant injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident,Person on outside of vehicle injured in traffic accident,09/11/2025
V489,Car occupant injured in noncollision transport accident: Unspecified car occupant injured in traffic accident,Unspecified car occupant injured in traffic accident,09/11/2025
V49,Car occupant injured in other and unspecified transport accidents,N/A,09/11/2025
V490,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,09/11/2025
V491,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,09/11/2025
V492,Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident,Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident,09/11/2025
V493,Car occupant [any] injured in unspecified nontraffic accident,Car occupant [any] injured in unspecified nontraffic accident,09/11/2025
V494,Driver injured in collision with other and unspecified motor vehicles in traffic accident,Driver injured in collision with other and unspecified motor vehicles in traffic accident,09/11/2025
V495,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,09/11/2025
V496,Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident,Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident,09/11/2025
